index,name,Singleplayer,Multiplayer
485,ARMA: Cold War Assault,True,True
486,Deathmatch Classic,False,True
487,Outlast 2,True,False
488,Kholat,True,True
489,Final Fantasy VII (1997),True,False
490,Robocraft,False,True
491,Stories: The Path of Destinies,True,False
492,Battlefield: Bad Company 2,True,True
493,Renegade Ops,True,True
494,Mass Effect: Andromeda,False,False
495,Call of Duty 4: Modern Warfare,True,True
496,Steep,True,True
497,Assassin's Creed Valhalla,False,False
498,Spyro Reignited Trilogy,True,False
499,Grand Theft Auto: Episodes from Liberty City,True,True
500,Tomb Raider: Legend,True,False
501,VVVVVV,True,True
502,Valheim,True,True
503,Uncharted 2: Among Thieves,False,False
504,Galactic Civilizations II: Ultimate Edition,True,False
505,Vampire Survivors,True,False
506,The Evil Within 2,True,False
507,Battlerite,True,True
508,Mortal Kombat Komplete Edition,True,True
509,Deus Ex 2: Invisible War,True,False
510,FINAL FANTASY XIII,True,False
511,Trove,False,True
512,Uncharted: Drake's Fortune,False,False
513,Deathloop,True,True
514,Saints Row: Gat Out of Hell,True,True
515,Clicker Heroes,True,True
516,Dota Underlords,True,True
517,Tomb Raider: Anniversary,True,False
518,Styx: Master of Shadows,True,False
519,Evolve Stage 2,True,True
520,Furi,True,False
521,F1 2015,True,True
522,The Order: 1886,True,False
523,Everlasting Summer,True,False
524,Surgeon Simulator,True,True
525,Just Cause,True,True
526,Viking: Battle for Asgard,True,False
527,Katana ZERO,True,False
528,Titan Quest,False,True
529,Shadow Warrior 2,True,True
530,Marvel's Guardians of the Galaxy,True,False
531,Overcooked! 2,True,True
532,SteamWorld Dig,True,True
533,Enclave,True,True
534,STRIDER,True,False
535,TEKKEN 7,True,True
536,LEGO Marvel Super Heroes,True,True
537,Thomas Was Alone,True,False
538,Warhammer: End Times - Vermintide,True,True
539,Serious Sam HD:  The First Encounter,True,True
540,Prince of Persia (2008),True,False
541,The Vanishing of Ethan Carter,True,False
542,RiME,True,False
543,Shadow Warrior (2013),True,True
544,Totally Accurate Battlegrounds,False,True
545,Mount & Blade: Warband,True,True
546,Serious Sam: The First Encounter,True,True
547,The Banner Saga,True,False
548,"Warhammer 40,000: Dawn of War - Game of the Year Edition",True,True
549,Unravel,True,False
550,Sniper Elite 3,True,True
551,Fable Anniversary,True,False
552,Call of Duty: Modern Warfare (2019),True,True
553,Mirror's Edge Catalyst,True,True
554,H1Z1: King of the Kill,False,True
555,Hitman: Codename 47,True,False
556,LittleBigPlanet 3,False,False
557,Alpha Protocol,True,False
558,Dead Rising 2,True,True
559,Nioh,False,False
560,Need for Speed,True,True
561,Tropico 5,True,True
562,Crypt of the NecroDancer,True,False
563,Kerbal Space Program,True,False
564,Darksiders III,True,False
565,Age of Empires II HD,True,True
566,World of Tanks,False,True
567,Need for Speed Payback,True,True
568,Prototype,True,False
569,Overlord II,True,True
570,Dungeons 2,True,True
571,Genshin Impact,False,False
572,The Surge,True,True
573,Superhot: Mind Control Delete,True,False
574,Grim Dawn,True,True
575,Plants vs. Zombies GOTY Edition,True,False
576,Tom Clancy's Ghost Recon Wildlands,True,True
577,Super Mario Odyssey,True,False
578,7 Days to Die,True,True
579,Company of Heroes: Opposing Fronts,True,True
580,Ghostrunner,True,False
581,Dishonored: Death of the Outsider,True,False
582,Elite Dangerous,True,True
583,The Expendabros,True,True
584,Star Wars Jedi Knight II: Jedi Outcast,True,True
585,Rayman Origins,True,False
586,Overwatch,False,True
587,SpeedRunners,True,True
588,SpaceChem,True,False
589,Far Cry Primal,True,False
590,Risk of Rain,True,True
591,Blasphemous,True,False
592,Arma 2,True,True
593,X-COM: UFO Defense,True,False
594,Unreal Gold,True,True
595,Scribblenauts Unlimited,True,True
596,Need For Speed: Hot Pursuit,True,True
597,Tell Me Why,True,False
598,Bulletstorm,False,True
599,Fallout 76,False,True
600,Loadout,False,True
601,Race The Sun,True,True
602,Dark Messiah of Might and Magic,True,True
603,The Red Solstice,True,True
604,Risen,True,False
605,TERA,True,True
606,Dirty Bomb,True,True
607,Hellblade: Senua's Sacrifice VR Edition,True,False
608,The Uncertain: Episode 1 - The Last Quiet Day,True,False
609,Oddworld: New 'n' Tasty,True,False
610,Risk of Rain 2,True,True
611,This is the Police,True,False
612,Thief Gold,True,False
613,Ultimate Epic Battle Simulator,True,False
614,Tropico 3,True,False
615,Fallout Tactics: Brotherhood of Steel,True,True
616,Marvel's Spider-Man: Miles Morales,True,True
617,Hyper Light Drifter,True,True
618,Plague Inc: Evolved,True,True
619,My Friend Pedro,True,False
620,Vanquish,True,False
621,South Park: The Fractured But Whole,True,False
622,Call of Duty: Advanced Warfare,True,True
623,RUINER,True,False
624,No More Room in Hell,False,True
625,Need for Speed Heat,True,True
626,EVE Online,False,True
627,Orcs Must Die!,True,True
628,Gothic,True,False
629,Dark Souls,False,True
630,inFAMOUS First Light,False,False
631,HELLDIVERS,True,True
632,Serious Sam HD: The Second Encounter,True,True
633,Snake Pass,True,False
634,Risen 2: Dark Waters,True,False
635,DOOM 3,True,True
636,Skullgirls,True,True
637,Tom Clancy's Splinter Cell: Conviction,True,True
638,Lord of the Rings: War in the North,True,True
639,Besiege,True,False
640,Just Cause 4,True,False
641,Kane & Lynch 2: Dog Days,True,True
642,Gears of War,False,False
643,SteamWorld Dig 2,True,False
644,Vampire: The Masquerade - Bloodlines,True,False
645,Trials Fusion,True,True
646,Anomaly: Warzone Earth,True,False
647,STAR WARS: The Force Unleashed II,True,False
648,Company of Heroes: Tales of Valor,True,True
649,Aegis Defenders,True,True
650,Fable III,False,False
651,Her Story,True,False
652,Far Cry,True,True
653,Game Dev Tycoon,True,False
654,Gothic 3,True,False
655,Remnant: From the Ashes,True,False
656,The Last Guardian,False,False
657,DiRT Rally 2.0,True,True
658,AdVenture Capitalist,True,False
659,Red Faction Guerrilla Re-Mars-tered,True,True
660,Mass Effect: Legendary Edition,True,False
661,AudioSurf,True,False
662,Need for Speed Rivals,True,True
663,SPORE,True,True
664,The Incredible Adventures of Van Helsing,True,True
665,The Elder Scrolls IV: Oblivion,False,False
666,Duke Nukem Forever,True,True
667,Day of the Tentacle Remastered,True,False
668,"Warhammer 40,000: Dawn of War II",True,True
669,Valkyria Chronicles,True,False
670,Prince of Persia: The Sands of Time,True,False
671,Star Wars: Republic Commando,True,True
672,Cortex Command,True,True
673,The Dark Pictures Anthology: Man of Medan,True,True
674,Tom Clancy’s The Division 2,True,True
675,Golf With Your Friends,True,True
676,PAC-MAN CHAMPIONSHIP EDITION 2,True,False
677,Headsnatchers,True,True
678,Battlefield Hardline,True,True
679,Arma 2: Operation Arrowhead,True,True
680,LEGO Star Wars - The Complete Saga,True,True
681,Call of Duty: Ghosts,True,True
682,Moonlighter,True,False
683,Serious Sam 2,True,True
684,Into the Breach,True,False
685,Diablo III: Reaper of Souls,False,False
686,Antichamber,True,False
687,Halo 3,False,False
688,Call of Duty: Infinite Warfare,True,True
689,Fortnite: Save The World,False,True
690,Dungeon Defenders,True,True
691,Trackmania Turbo,True,True
692,Bloodstained: Ritual of the Night,True,True
693,Divinity II: Developer's Cut,True,False
694,Alice: Madness Returns,True,False
695,Quake,True,True
696,How to Survive,True,True
697,Deceit,False,True
698,Halo: Reach,False,False
699,Guns of Icarus Alliance,True,True
700,DOOM II,True,True
701,Unravel Two,True,True
702,Deiland,True,False
703,The Lab,True,False
704,Factorio,True,True
705,Assassin's Creed 2 Deluxe Edition,True,True
706,Realm Royale,True,True
707,Project Zomboid,True,True
708,Condemned: Criminal Origins,True,False
709,Stealth Inc 2: A Game of Clones,True,False
710,Fahrenheit: Indigo Prophecy Remastered,True,False
711,Sonic & All-Stars Racing Transformed,True,True
712,Tomb Raider II,True,False
713,Gothic II: Gold Edition,True,False
714,STAR WARS - The Force Unleashed Ultimate Sith Edition,True,False
715,OKAMI HD,True,False
716,Gears of War 2,False,False
717,Marvel Heroes,True,True
718,Serious Sam: The Second Encounter,True,True
719,Dino D-Day,False,True
720,Goat of Duty,True,True
721,Super Hexagon,True,False
722,Dead Space 3,True,True
723,Kane and Lynch: Dead Men,True,True
724,Slime Rancher,True,True
725,Bulletstorm: Full Clip Edition,True,True
726,Persona 4 Golden,True,False
727,Marvel’s Avengers,True,True
728,Conan Exiles,True,True
729,Catherine,True,False
730,Sherlock Holmes: The Devil's Daughter,True,False
731,Teleglitch: Die More Edition,True,False
732,F1 2018,True,True
733,Dead Island Riptide,False,False
734,Full Throttle Remastered,True,False
735,Hawken,True,True
736,Hero Siege,True,True
737,LEGO Batman,True,True
738,Worms Armageddon,True,True
739,Star Wars: Dark Forces,True,False
740,Children of Morta,True,False
741,"Invisible, Inc.",True,False
742,Killzone Shadow Fall,False,False
743,Grow Home,True,False
744,Hitman: Contracts,True,False
745,FIFA 18,False,True
746,Crash Bandicoot,True,False
747,Northgard,True,True
748,Regions Of Ruin,True,False
749,Hard Reset Extended Edition,True,False
750,Command & Conquer: Red Alert 3 - Uprising,True,True
751,Resident Evil 0 / biohazard 0 HD REMASTER,True,True
752,Serial Cleaner,True,False
753,Observеr,True,False
754,RaceRoom Racing Experience,True,True
755,Mount & Blade,True,True
756,Superbrothers: Sword & Sworcery,True,False
757,Endless Legend,True,True
758,Deus Ex: The Fall,True,False
759,Divine Divinity,True,False
760,Prince of Persia: Warrior Within,True,False
761,Guacamelee! Gold Edition,True,False
762,ENSLAVED: Odyssey to the West Premium Edition,True,False
763,Cry of Fear,True,True
764,Legend of Grimrock,True,False
765,LEGO Batman 2 DC Super Heroes,True,True
766,Crossout,True,True
767,Rage 2,True,True
768,Pyre,True,True
